BATCH_ID: 998820251125 | DEVICE: TRK-04-CE | FW: v2.1
[10:00:00] S:IDLE | LAT:-03.82100 LON:-38.49200 | SPD:000 | RPM:0800 | TMP:85 | FUEL:92%
[10:00:03] S:MOVE | LAT:-03.82102 LON:-38.49205 | SPD:012 | RPM:1100 | TMP:86 | FUEL:92%
[10:00:06] S:MOVE | LAT:-03.82108 LON:-38.49215 | SPD:025 | RPM:1500 | TMP:87 | FUEL:92%
[10:00:09] S:MOVE | LAT:-03.82115 LON:-38.49230 | SPD:038 | RPM:1800 | TMP:88 | FUEL:91%
[10:00:12] S:MOVE | LAT:-03.82125 LON:-38.49250 | SPD:045 | RPM:2100 | TMP:89 | FUEL:91%
[10:00:15] S:MOVE | LAT:-03.82140 LON:-38.49280 | SPD:052 | RPM:2200 | TMP:89 | FUEL:91%
[10:00:18] S:MOVE | LAT:-03.82160 LON:-38.49320 | SPD:060 | RPM:2300 | TMP:90 | FUEL:91%
[10:00:21] S:MOVE | LAT:-03.82185 LON:-38.49370 | SPD:065 | RPM:2400 | TMP:90 | FUEL:91%
[10:00:24] S:MOVE | LAT:-03.82210 LON:-38.49430 | SPD:068 | RPM:2450 | TMP:91 | FUEL:91%
[10:00:27] S:MOVE | LAT:-03.82240 LON:-38.49500 | SPD:070 | RPM:2500 | TMP:91 | FUEL:91%
[10:00:30] S:MOVE | LAT:-03.82275 LON:-38.49580 | SPD:072 | RPM:2500 | TMP:91 | FUEL:91%
[10:00:33] S:MOVE | LAT:-03.82310 LON:-38.49670 | SPD:075 | RPM:2550 | TMP:92 | FUEL:90%
[10:00:36] S:MOVE | LAT:-03.82350 LON:-38.49770 | SPD:078 | RPM:2600 | TMP:92 | FUEL:90%
[10:00:39] S:MOVE | LAT:-03.82395 LON:-38.49880 | SPD:080 | RPM:2600 | TMP:92 | FUEL:90%
[10:00:42] S:MOVE | LAT:-03.82445 LON:-38.49990 | SPD:080 | RPM:2600 | TMP:93 | FUEL:90%
[10:00:45] S:MOVE | LAT:-03.82500 LON:-38.50110 | SPD:080 | RPM:2600 | TMP:93 | FUEL:90%
[10:00:48] S:MOVE | LAT:-03.82560 LON:-38.50240 | SPD:075 | RPM:2400 | TMP:92 | FUEL:90%
[10:00:51] S:MOVE | LAT:-03.82620 LON:-38.50380 | SPD:060 | RPM:1800 | TMP:91 | FUEL:90%
[10:00:54] S:MOVE | LAT:-03.82680 LON:-38.50520 | SPD:040 | RPM:1200 | TMP:90 | FUEL:90%
[10:00:57] S:IDLE | LAT:-03.82700 LON:-38.50600 | SPD:000 | RPM:0800 | TMP:89 | FUEL:90%
[10:00:00] S:IDLE | LAT:-03.82100 LON:-38.49200 | SPD:000 | RPM:0800 | TMP:85 | FUEL:92%
[10:00:03] S:MOVE | LAT:-03.82102 LON:-38.49205 | SPD:012 | RPM:1100 | TMP:86 | FUEL:92%
[10:00:06] S:MOVE | LAT:-03.82108 LON:-38.49215 | SPD:025 | RPM:1500 | TMP:87 | FUEL:92%
[10:00:09] S:MOVE | LAT:-03.82115 LON:-38.49230 | SPD:038 | RPM:1800 | TMP:88 | FUEL:91%
[10:00:12] S:MOVE | LAT:-03.82125 LON:-38.49250 | SPD:045 | RPM:2100 | TMP:89 | FUEL:91%
[10:00:15] S:MOVE | LAT:-03.82140 LON:-38.49280 | SPD:052 | RPM:2200 | TMP:89 | FUEL:91%
[10:00:18] S:MOVE | LAT:-03.82160 LON:-38.49320 | SPD:060 | RPM:2300 | TMP:90 | FUEL:91%
[10:00:21] S:MOVE | LAT:-03.82185 LON:-38.49370 | SPD:065 | RPM:2400 | TMP:90 | FUEL:91%
[10:00:24] S:MOVE | LAT:-03.82210 LON:-38.49430 | SPD:068 | RPM:2450 | TMP:91 | FUEL:91%
[10:00:27] S:MOVE | LAT:-03.82240 LON:-38.49500 | SPD:070 | RPM:2500 | TMP:91 | FUEL:91%
[10:00:30] S:MOVE | LAT:-03.82275 LON:-38.49580 | SPD:072 | RPM:2500 | TMP:91 | FUEL:91%
[10:00:33] S:MOVE | LAT:-03.82310 LON:-38.49670 | SPD:075 | RPM:2550 | TMP:92 | FUEL:90%
[10:00:36] S:MOVE | LAT:-03.82350 LON:-38.49770 | SPD:078 | RPM:2600 | TMP:92 | FUEL:90%
[10:00:39] S:MOVE | LAT:-03.82395 LON:-38.49880 | SPD:080 | RPM:2600 | TMP:92 | FUEL:90%
[10:00:42] S:MOVE | LAT:-03.82445 LON:-38.49990 | SPD:080 | RPM:2600 | TMP:93 | FUEL:90%
[10:00:45] S:MOVE | LAT:-03.82500 LON:-38.50110 | SPD:080 | RPM:2600 | TMP:93 | FUEL:90%
[10:00:48] S:MOVE | LAT:-03.82560 LON:-38.50240 | SPD:075 | RPM:2400 | TMP:92 | FUEL:90%
[10:00:51] S:MOVE | LAT:-03.82620 LON:-38.50380 | SPD:060 | RPM:1800 | TMP:91 | FUEL:90%
[10:00:54] S:MOVE | LAT:-03.82680 LON:-38.50520 | SPD:040 | RPM:1200 | TMP:90 | FUEL:90%
[10:00:57] S:IDLE | LAT:-03.82700 LON:-38.50600 | SPD:000 | RPM:0800 | TMP:89 | FUEL:90%
[10:00:00] S:IDLE | LAT:-03.82100 LON:-38.49200 | SPD:000 | RPM:0800 | TMP:85 | FUEL:92%
[10:00:03] S:MOVE | LAT:-03.82102 LON:-38.49205 | SPD:012 | RPM:1100 | TMP:86 | FUEL:92%
[10:00:06] S:MOVE | LAT:-03.82108 LON:-38.49215 | SPD:025 | RPM:1500 | TMP:87 | FUEL:92%
[10:00:09] S:MOVE | LAT:-03.82115 LON:-38.49230 | SPD:038 | RPM:1800 | TMP:88 | FUEL:91%
[10:00:12] S:MOVE | LAT:-03.82125 LON:-38.49250 | SPD:045 | RPM:2100 | TMP:89 | FUEL:91%
[10:00:15] S:MOVE | LAT:-03.82140 LON:-38.49280 | SPD:052 | RPM:2200 | TMP:89 | FUEL:91%
[10:00:18] S:MOVE | LAT:-03.82160 LON:-38.49320 | SPD:060 | RPM:2300 | TMP:90 | FUEL:91%
[10:00:21] S:MOVE | LAT:-03.82185 LON:-38.49370 | SPD:065 | RPM:2400 | TMP:90 | FUEL:91%
[10:00:24] S:MOVE | LAT:-03.82210 LON:-38.49430 | SPD:068 | RPM:2450 | TMP:91 | FUEL:91%
[10:00:27] S:MOVE | LAT:-03.82240 LON:-38.49500 | SPD:070 | RPM:2500 | TMP:91 | FUEL:91%
[10:00:30] S:MOVE | LAT:-03.82275 LON:-38.49580 | SPD:072 | RPM:2500 | TMP:91 | FUEL:91%
[10:00:33] S:MOVE | LAT:-03.82310 LON:-38.49670 | SPD:075 | RPM:2550 | TMP:92 | FUEL:90%
[10:00:36] S:MOVE | LAT:-03.82350 LON:-38.49770 | SPD:078 | RPM:2600 | TMP:92 | FUEL:90%
[10:00:39] S:MOVE | LAT:-03.82395 LON:-38.49880 | SPD:080 | RPM:2600 | TMP:92 | FUEL:90%
[10:00:42] S:MOVE | LAT:-03.82445 LON:-38.49990 | SPD:080 | RPM:2600 | TMP:93 | FUEL:90%
[10:00:45] S:MOVE | LAT:-03.82500 LON:-38.50110 | SPD:080 | RPM:2600 | TMP:93 | FUEL:90%
[10:00:48] S:MOVE | LAT:-03.82560 LON:-38.50240 | SPD:075 | RPM:2400 | TMP:92 | FUEL:90%
[10:00:51] S:MOVE | LAT:-03.82620 LON:-38.50380 | SPD:060 | RPM:1800 | TMP:91 | FUEL:90%
[10:00:54] S:MOVE | LAT:-03.82680 LON:-38.50520 | SPD:040 | RPM:1200 | TMP:90 | FUEL:90%
[10:00:57] S:IDLE | LAT:-03.82700 LON:-38.50600 | SPD:000 | RPM:0800 | TMP:89 | FUEL:90%
[10:01:00] END_BATCH CHECKSUM:XF99
